Timestamp,Ambient Temperature,SoC Peak Temperature,Power Consumption,Average PE Utilization
2025-03-02 22:43:03,44.0,56.856,38.0,0.0
2025-03-02 22:43:05,44.0,56.856,38.0,0.0
2025-03-02 22:43:07,44.0,56.856,38.0,0.0
2025-03-02 22:43:09,44.0,56.67,38.0,0.0
2025-03-02 22:43:11,44.0,56.67,38.0,0.0
2025-03-02 22:43:13,44.0,56.67,38.0,0.0
2025-03-02 22:43:15,44.0,56.67,38.0,0.0
2025-03-02 22:43:17,44.0,56.484,38.0,0.0
2025-03-02 22:43:19,44.0,56.484,38.0,0.0
2025-03-02 22:43:21,44.0,56.484,38.0,0.0
2025-03-02 22:43:23,43.0,56.484,38.0,0.0
2025-03-02 22:43:25,43.0,56.67,39.0,0.0
2025-03-02 22:43:27,43.0,56.484,40.0,0.0
2025-03-02 22:43:29,43.0,56.484,40.0,0.0
2025-03-02 22:43:31,43.0,56.67,40.0,0.0
2025-03-02 22:43:33,43.0,63.302,95.0,97.63542547251672
2025-03-02 22:43:35,43.0,65.347,157.0,97.6680652267456
2025-03-02 22:43:37,43.0,65.947,202.0,97.62199417068084
2025-03-02 22:43:39,43.0,66.834,222.0,97.5228111135334
2025-03-02 22:43:41,43.0,67.435,223.0,97.58371398177893
2025-03-02 22:43:43,43.0,67.807,223.0,97.62644142502101
2025-03-02 22:43:45,43.0,68.322,224.0,97.63159134469828
2025-03-02 22:43:47,43.0,68.88,224.0,97.67037081140484
2025-03-02 22:43:49,43.0,69.108,224.0,97.54111463872233
2025-03-02 22:43:51,43.0,69.437,225.0,97.44443712416683
2025-03-02 22:43:53,43.0,69.995,224.0,97.40267838223886
2025-03-02 22:43:55,43.0,70.553,224.0,97.57687187153466
2025-03-02 22:43:57,43.0,70.925,224.0,97.6574005825644
2025-03-02 22:43:59,43.0,71.483,225.0,97.53875937371453
2025-03-02 22:44:01,44.0,71.669,226.0,97.51204923461206
2025-03-02 22:44:03,44.0,72.083,225.0,97.69259410179777
2025-03-02 22:44:05,44.0,72.598,226.0,97.4973200704939
2025-03-02 22:44:07,44.0,72.97,226.0,97.65713552793764
2025-03-02 22:44:09,44.0,73.156,226.0,97.70349208669585
2025-03-02 22:44:11,44.0,73.714,227.0,97.5737264731066
2025-03-02 22:44:13,44.0,74.128,228.0,97.54770397959551
2025-03-02 22:44:15,44.0,74.643,228.0,97.63820239682255
2025-03-02 22:44:17,44.0,75.058,228.0,97.65386480682267
2025-03-02 22:44:19,44.0,75.244,228.0,97.33119500642947
2025-03-02 22:44:21,44.0,75.802,229.0,97.6448169524918
2025-03-02 22:44:23,44.0,75.987,228.0,97.3976263389896
2025-03-02 22:44:26,45.0,76.503,229.0,97.6934877174678
2025-03-02 22:44:28,45.0,76.875,229.0,97.61369862244152
2025-03-02 22:44:30,45.0,77.432,229.0,97.61472879920862
2025-03-02 22:44:32,45.0,77.432,230.0,97.75569140812652
2025-03-02 22:44:34,45.0,78.219,230.0,97.50661698072359
2025-03-02 22:44:36,45.0,78.405,231.0,97.594994030184
2025-03-02 22:44:38,45.0,78.734,231.0,97.59874327307907
2025-03-02 22:44:40,45.0,78.92,231.0,97.45556870323892
2025-03-02 22:44:42,46.0,79.292,231.0,97.67368960942642
2025-03-02 22:44:44,46.0,79.849,231.0,97.53753754788539
2025-03-02 22:44:46,46.0,71.525,202.0,0.0
2025-03-02 22:44:48,46.0,70.41,153.0,0.0
2025-03-02 22:44:50,46.0,70.038,78.0,0.0
2025-03-02 22:44:52,46.0,69.685,43.0,0.0
